"export","kind","signature","rd_alias","rd_page","test_file","test_id","example_id"
"measure_hedge","function","relationship","measure_hedge","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","measure_hedge applies the lower-of rule","measure_hedge"
"modification_gain_loss","function","gross_before,modified_cashflows,original_eir","modification_gain_loss","core_formulas.Rd","tests/testthat/test-formulas.R","modification_gain_loss returns a signed asset effect","modification_gain_loss"
"oci_rollforward","function","opening,fair_value_movement,effective_hedge_movement,costs,recycling,basis_adjustment","oci_rollforward","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","oci_rollforward applies signed movements","oci_rollforward"
"poci_allowance_change","function","current_lifetime_ecl,initial_lifetime_ecl","poci_allowance_change","core_formulas.Rd","tests/testthat/test-formulas.R","poci_allowance_change remains signed","poci_allowance_change"
"present_fair_value","function","instrument,market,category","present_fair_value","classification_decisions.Rd","tests/testthat/test-classification.R","present_fair_value routes equity FVOCI movement to OCI","present_fair_value"
"process_modification","function","event,instrument","process_modification","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","process_modification returns the signed asset effect","process_modification"
"process_recovery","function","event,instrument","process_recovery","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","process_recovery reports positive income","process_recovery"
"process_writeoff","function","event,instrument","process_writeoff","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","process_writeoff validates the carrying amount","process_writeoff"
"provision_matrix_ecl","function","exposure,loss_rate","provision_matrix_ecl","core_formulas.Rd","tests/testthat/test-formulas.R","provision_matrix_ecl multiplies exposure and loss rate","provision_matrix_ecl"
"reconcile_ledger","function","expected,actual,tolerance","reconcile_ledger","reporting_monitoring.Rd","tests/testthat/test-reporting.R","reconcile_ledger reports a failed difference","reconcile_ledger"
"reconcile_overlay","function","amount,allocations,tolerance","reconcile_overlay","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","reconcile_overlay controls the total","reconcile_overlay"
"recovery_present_value","function","recoveries,eir","recovery_present_value","core_formulas.Rd","tests/testthat/test-formulas.R","recovery_present_value discounts recovery timing","recovery_present_value"
"regulatory_bridge","function","instruments,ecl_results,stages,fx","regulatory_bridge","reporting_monitoring.Rd","tests/testthat/test-reporting.R","regulatory_bridge remains separate from accounting ECL","regulatory_bridge"
"run_dataset","function","dataset,policy","run_dataset","workflow.Rd","tests/testthat/test-workflow.R","run_dataset calculates the complete small reference profile","run_dataset"
"scenario_ecl","function","instrument,stage,pd_curves,lgd_profiles,ead_profiles,probabilities,cashflows,reporting_date","scenario_ecl","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","scenario_ecl matches the independent component case","scenario_ecl"
"scenario_sensitivity","function","losses,probabilities","scenario_sensitivity","reporting_monitoring.Rd","tests/testthat/test-reporting.R","scenario_sensitivity returns weighted contributions","scenario_sensitivity"
"select_snapshot","function","tables,reporting_date,knowledge_time","select_snapshot","reference_data.Rd","tests/testthat/test-resources.R","select_snapshot applies valid and known cutoffs","select_snapshot"
"split_own_credit","function","market,category","split_own_credit","classification_decisions.Rd","tests/testthat/test-classification.R","split_own_credit separates liability movements","split_own_credit"
"stage_movements","function","stage_results","stage_movements","classification_decisions.Rd","tests/testthat/test-classification.R","stage_movements counts observed transitions","stage_movements"
"survival_from_pd","function","marginal","survival_from_pd","core_formulas.Rd","tests/testthat/test-formulas.R","survival_from_pd computes end-period survival","survival_from_pd"
"validate_dataset","function","tables,reporting_date,knowledge_time","validate_dataset","reference_data.Rd","tests/testthat/test-resources.R","validate_dataset accepts the complete small profile","validate_dataset"
"validate_hedge_designation","function","relationship","validate_hedge_designation","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","validate_hedge_designation reports eligibility","validate_hedge_designation"
"validate_overlay","function","overlay,reporting_date","validate_overlay","risk_event_hedge.Rd","tests/testthat/test-risk-events.R","validate_overlay enforces governance","validate_overlay"
"weighted_ecl","function","scenario_losses,probabilities","weighted_ecl","core_formulas.Rd","tests/testthat/test-formulas.R","weighted_ecl weights separately calculated scenarios","weighted_ecl"
